nom,ville,departement,adresse,type,pokemon,one_piece,autres_tcg,rachat_cartes,singles,scelle,ecommerce,priorite,source,site_web,plateforme,potentiel_scraping,statut,date_verification,doublon_potentiel
Le Coin des Barons Marseille,Marseille,13,"72 Rue Saint-Ferréol, Marseille",TCG,Oui,Oui,Oui,À vérifier,À vérifier,Oui,Oui,P1,MapTCG,lecoindesbarons.com,woocommerce,Oui,deja_scrape,2026-08-25,Non
Le Paradis Du Hobby,Marseille,13,"39 Av. de Saint Menet, 13011 Marseille",TCG,Oui,Non,Oui,À vérifier,À vérifier,Oui,À vérifier,P2,MapTCG,leparadisduhobby.com,a_verifier,a_verifier_plateforme,url_trouvee,2026-08-25,Non
Playin Marseille,Marseille,13,"8 Rue Montgrand, Marseille",TCG,Oui,Non,Oui,À vérifier,Oui,Oui,Oui,P1,MapTCG,play-in.com,custom_non_detecte,Non,verifie_non_scrapable,2026-08-25,Non
Rôle Games,Marseille,13,"32 Rue Barbaroux, 13001 Marseille",TCG,Oui,Non,Oui,À vérifier,À vérifier,Oui,À vérifier,P2,MapTCG,aucun (eBay uniquement),ebay_uniquement,Non,verifie_non_scrapable,2026-08-25,Non
The Vaults,Marseille,13,"25 Boulevard Jean Aicard, Marseille",TCG / wargame,Oui,Non,Oui,À vérifier,À vérifier,Oui,Oui,P2,MapTCG,thevaults.fr,a_verifier (URL /content/9-... type PrestaShop),a_verifier_plateforme,"url_trouvee -- NB: The Vaults et The Vaults - Games Company partagent le meme SIREN (941260689), tres probablement le meme site",2026-08-25,Non
The Vaults - Games Company,Marseille,13,"26 Grand Rue, 13013 Marseille",TCG,Oui,Non,Oui,À vérifier,À vérifier,Oui,Oui,P2,MapTCG,thevaults.fr,a_verifier (URL /content/9-... type PrestaShop),a_verifier_plateforme,"url_trouvee -- NB: The Vaults et The Vaults - Games Company partagent le meme SIREN (941260689), tres probablement le meme site",2026-08-25,Non
Konoba Cards,Rouen,76,"65 Rue Jean Lecanuet, Rouen",TCG,Oui,Oui,Oui,À vérifier,Oui,À vérifier,À vérifier,P1,MapTCG,konobacards.fr,prestashop,Oui,candidat_verifie (1043 produits/228 slugs pokemon),2026-08-25,Non
Lector - Cartes à Collectionner,Rouen,76,"22 Rue des Arpents, Rouen",TCG Pokémon,Oui,Non,Non,À vérifier,Oui,À vérifier,À vérifier,P1,MapTCG,lectorshop.com,shopify,Oui,candidat_verifie (250 produits/193 scelle pokemon),2026-08-25,Non
Poke Stoke,Rouen,76,"51 Rue aux Ours, Rouen",TCG Pokémon,Oui,Non,Non,À vérifier,Oui,Oui,À vérifier,P1,MapTCG,pokestoke.com,woocommerce,a_verifier_manuellement,insuffisant_verifie (232 produits/4 slugs pokemon -- signal faible pour boutique dediee Pokemon),2026-08-25,Non
Star & Co,Rouen,76,"31 Bd des Belges, Rouen",TCG Pokémon,Oui,Non,Non,À vérifier,Oui,À vérifier,À vérifier,P1,MapTCG,aucun (Cardmarket+eBay+Instagram uniquement),aucune,Non,verifie_non_scrapable,2026-08-25,Non
Fuji Store - Lyon,Lyon,69,"17 Rue Mulet, 69001 Lyon",TCG,Oui,Oui,Oui,À vérifier,Oui,Oui,À vérifier,P1,MapTCG,fuji-store.fr,woocommerce,Oui,deja_scrape (meme chaine que Fuji Store Paris),2026-08-25,Non
Games Descartes Lyon,Lyon,69,"13 Rue des Remparts d'Ainay, 69002 Lyon",TCG,Oui,Non,Oui,À vérifier,À vérifier,Oui,Oui,P2,MapTCG,aucun (Facebook uniquement),aucune,Non,verifie_non_scrapable,2026-08-25,Non
GameSpirit,Lyon,69,"8 Rue Lanterne, 69001 Lyon",TCG,Oui,Non,Oui,À vérifier,À vérifier,Oui,Oui,P2,MapTCG,www2.gamespirit.fr,a_verifier (URL /content/6-... type PrestaShop),a_verifier_plateforme,url_trouvee,2026-08-25,Non
Le Coin des Barons Lyon,Lyon,69,"34 Rue Franklin, Lyon",TCG,Oui,Oui,Oui,À vérifier,Oui,Oui,Oui,P1,MapTCG,lecoindesbarons.com,woocommerce,Oui,deja_scrape,2026-08-25,Non
Takai Tcg,Lyon,69,"43 Quai de Pierre-Scize, 69009 Lyon",TCG,Oui,Non,Oui,À vérifier,Oui,Oui,À vérifier,P1,MapTCG,aucun trouve,?,a_verifier,a_verifier (present sur MapTCG mais aucun site trouve via WebSearch),2026-08-25,Non
Trollune,Lyon,69,"25 Rue Sébastien Gryphe, Lyon",TCG,Oui,Non,Oui,À vérifier,Oui,Oui,Oui,P1,MapTCG,trollune.fr,custom_confirme_non_boutique,Non,verifie_non_scrapable,2026-08-25,Non
All4Play,Toulouse,31,"203 Avenue de Grande-Bretagne, Toulouse",TCG,Oui,Non,Oui,Oui,Oui,Oui,Oui,P1,MapTCG,all4play.fr,woocommerce,Oui,candidat_verifie (1001 produits/35 slugs pokemon),2026-08-25,Non
Art and Games,Toulouse,31,"4 Rue Maurice Fonvieille, 31000 Toulouse",TCG,Oui,Non,Oui,À vérifier,Oui,Oui,À vérifier,P2,MapTCG,artetjeux.fr,a_verifier,a_verifier_plateforme,url_trouvee,2026-08-25,Non
Fantasy Sphere,Toulouse,31,"93 Rue Pierre-Paul Riquet, 31000 Toulouse",TCG,Oui,Oui,Oui,À vérifier,Oui,Oui,Oui,P1,MapTCG,fantasysphere.net,prestashop,Oui,candidat_verifie (84014 produits/10214 slugs pokemon -- TRES gros volume),2026-08-25,Non
Relic,Toulouse,31,"32 Gd Rue Saint-Michel, 31400 Toulouse",TCG,Oui,Oui,Oui,À vérifier,Oui,Oui,À vérifier,P1,MapTCG,relictcg.com,shopify,Oui,deja_scrape,2026-08-25,Non
Relic TCG,Toulouse,31,"32 Grande Rue Saint-Michel, Toulouse",TCG,Oui,Oui,Oui,À vérifier,Oui,Oui,Oui,P1,MapTCG,relictcg.com,shopify,Oui,deja_scrape,2026-08-25,Non
Tableraz(e) Toulouse,Toulouse,31,"112 Avenue de Muret, Toulouse",TCG,Oui,Non,Oui,À vérifier,À vérifier,Oui,À vérifier,P2,MapTCG,tablerazetoulouse31.hiboutik.com,hiboutik (non supportee par le projet),Non,"verifie_non_scrapable -- plateforme Hiboutik, aucune des 3 supportees",2026-08-25,Non
Masterset,Strasbourg,67,"9 Rue de Soleure, 67000 Strasbourg",TCG,Oui,Oui,Oui,À vérifier,Oui,Oui,Oui,P1,MapTCG,masterset.store,shopify,Oui,candidat_verifie (250 produits/133 singles/2 pokemon singles/27 scelle pokemon),2026-08-25,Non
Dooz TCG,Strasbourg,67,"12 Rue des Magasins, 67000 Strasbourg",TCG,Oui,Oui,Oui,Oui,Oui,Oui,À vérifier,P1,MapTCG,aucun (Cardmarket uniquement),aucune,Non,verifie_non_scrapable,2026-08-25,Non
Gamecash,Souffelweyersheim,67,"34 Rue des Tuileries, Souffelweyersheim",Cash/occasion/TCG,Oui,Oui,Oui,À vérifier,À vérifier,Oui,Oui,P1,MapTCG,gamecash.fr,prestashop,Oui,"candidat_verifie (97448 produits !/731 slugs pokemon -- CHAINE NATIONALE, tres gros volume)",2026-08-25,Non
Maxi Rêves,Abbeville,80,"13 Bd Vauban, 80100 Abbeville",TCG,Oui,Non,Oui,À vérifier,À vérifier,Oui,À vérifier,P2,MapTCG,maxireves.fr,a_verifier (URL ?add-to-cart=... type WooCommerce),a_verifier_plateforme,url_trouvee,2026-08-25,Non
Guyajeux Agen,Agen,47,"39 Rue Lafayette, Agen",TCG,Oui,Non,Non,À vérifier,À vérifier,Oui,Oui,P2,MapTCG,guyajeux.fr,a_verifier,a_verifier_plateforme,"url_trouvee (chaine : Agen, Angouleme, Sarlat...)",2026-08-25,Non
A&D TCG,Aix-en-Provence,13,"1175 Rue Guillaume Du Vair, 13290 Aix-en-Provence",TCG,Oui,Non,Oui,À vérifier,À vérifier,Oui,À vérifier,P2,MapTCG,aucun trouve,?,a_verifier,a_verifier -- aucun site identifie via WebSearch,2026-08-25,Non
Art'N Magic,Aix-en-Provence,13,"21 Rue des Tanneurs, 13100 Aix-en-Provence",TCG Magic,Non,Non,Oui,À vérifier,Oui,Oui,À vérifier,P2,MapTCG,artn-magic.fr,a_verifier,a_verifier_plateforme,url_trouvee (aussi artn-magic.com),2026-08-25,Non
Game Klub,Aix-en-Provence,13,"47 Rue Mignet, 13100 Aix-en-Provence",TCG,Oui,Non,Oui,À vérifier,À vérifier,Oui,À vérifier,P2,MapTCG,gameklub.fr,a_verifier,a_verifier_plateforme,"url_trouvee (principalement jeux video, cartes Pokemon en complement)",2026-08-25,Non
MAXXI-GAMES AIX EN PROVENCE,Aix-en-Provence,13,"16 Rue Paul Bert, 13100 Aix-en-Provence",TCG,Oui,Non,Oui,À vérifier,À vérifier,Oui,À vérifier,P2,MapTCG,maxxi-games.fr,a_verifier,a_verifier_plateforme,"url_trouvee -- principalement jeux video/figurines, pertinence TCG incertaine",2026-08-25,Non
Les Rois des Pok,Ajaccio,2A,"59 bis rue Cardinal Fesch, Ajaccio",TCG Pokémon,Oui,Non,Non,À vérifier,Oui,Oui,À vérifier,P1,MapTCG,aucun trouve (Instagram uniquement),aucune,Non,verifie_non_scrapable,2026-08-25,Non
Mana Mecha,Ajaccio,2A,"Rue Conventionnel F Salicetti, Ajaccio",TCG,Oui,Non,Oui,À vérifier,À vérifier,Oui,À vérifier,P2,MapTCG,manamecha.fr,a_verifier (URL /collections/pokemon-tcg type Shopify),a_verifier_plateforme,url_trouvee,2026-08-25,Non
Chats Pitres,Albi,81,"16 Rue Sainte-Cécile, Albi",TCG Pokémon,Oui,Non,Non,À vérifier,À vérifier,Oui,À vérifier,P2,MapTCG,chats-pitres.com,a_verifier (URL index.php?cntnt01... suggere CMS custom),a_verifier_plateforme,url_trouvee,2026-08-25,Non
Label Geek Manga,Amiens,80,"14 Rue des Vergeaux, Amiens",TCG,Oui,Non,Oui,À vérifier,À vérifier,Oui,À vérifier,P2,MapTCG,bulleenstock.com,a_verifier,a_verifier_plateforme,url_trouvee,2026-08-25,Non
Playin Annecy,Annecy,74,"39 Rue Sommeiller, 74000 Annecy",TCG,Oui,Non,Oui,À vérifier,Oui,Oui,Oui,P1,MapTCG,play-in.com,custom_non_detecte,Non,verifie_non_scrapable,2026-08-25,Non
Goupiya,Antony,92,"67 Av. Aristide Briand, 92160 Antony",TCG,Oui,Oui,Oui,À vérifier,Oui,Oui,À vérifier,P1,MapTCG,goupiya.com,prestashop,Oui,candidat_verifie (10127 produits/182 slugs pokemon),2026-08-25,Non
vente et rachat cartes pokemon,Anzin,59,"185 Av. Anatole France, 59410 Anzin",Rachat Pokémon,Oui,Non,Non,Oui,Oui,À vérifier,À vérifier,P1,MapTCG,sosconsole59.fr,a_verifier,a_verifier,url_trouvee mais boutique principalement reparation console -- catalogue TCG douteux,2026-08-25,Non
TCG DIRECT,Aubervilliers,93,"67 Rue de la Haie Coq, 93300 Aubervilliers",TCG,Oui,Non,Oui,À vérifier,Oui,Oui,À vérifier,P1,MapTCG,tcgdirect.fr,shopify,"Oui (mais grossiste B2B, pas de detail/singles)",candidat_verifie (250 produits/178 scelle pokemon -- B2B displays),2026-08-25,Non
Le Repaire Tijasatha,Auboué,54,"2 Rue du Colonel Fabien, 54580 Auboué",TCG,Oui,Non,Oui,À vérifier,À vérifier,Oui,À vérifier,P2,MapTCG,"aucun trouve (attention : ne pas confondre avec lerepairetcg.com, boutique differente)",?,a_verifier,a_verifier -- piege de nom potentiel avec Le Repaire TCG,2026-08-25,Non
Guyajeux Gers,Auch,32,"8 Rue du Pouy, Auch",TCG,Oui,Non,Oui,À vérifier,À vérifier,Oui,Oui,P2,MapTCG,guyajeux.fr,a_verifier,a_verifier_plateforme,url_trouvee (meme chaine que Guyajeux Agen),2026-08-25,Non
TZP Boutique TCG,Audincourt,25,"79 Grande Rue, Audincourt",TCG,Oui,Non,Oui,À vérifier,Oui,Oui,À vérifier,P1,MapTCG,tzp.fr,prestashop,Oui,candidat_verifie (724 produits/18 slugs pokemon),2026-08-25,Non
Chasseur de Jeux,Aulnay-sous-Bois,93,"46 Av. Anatole France, Aulnay-sous-Bois",TCG,Oui,Non,Oui,À vérifier,À vérifier,Oui,À vérifier,P2,MapTCG,aucun site propre identifie (Instagram/Facebook uniquement),aucune,Non,verifie_non_scrapable,2026-08-25,Non
Au Chat Perché - Jeux & Jouets,Auray,56,"48 Rue du Belzic, 56400 Auray",TCG,Oui,Non,Oui,À vérifier,À vérifier,Oui,À vérifier,P2,MapTCG,aucun trouve,aucune,Non,"verifie_non_scrapable -- principalement jouets, pas TCG",2026-08-25,Non
Cartes Sur Table,Auxerre,89,"3 Rue de la Draperie, Auxerre",TCG,Oui,Non,Oui,À vérifier,À vérifier,Oui,À vérifier,P2,MapTCG,carte-sur-table.com,a_verifier,a_verifier_plateforme,url_trouvee,2026-08-25,Non
Donvito TCG and Toys,Auxerre,89,"18 Rue Joubert, Auxerre",TCG Pokémon,Oui,Non,Non,À vérifier,À vérifier,Oui,À vérifier,P2,MapTCG,aucun trouve,?,a_verifier,"a_verifier -- boutique recente (2025), aucun site identifie",2026-08-25,Non
Guilde du Dragon,Avignon,84,"22 Rue Carreterie, 84000 Avignon",TCG,Oui,Non,Oui,À vérifier,À vérifier,Oui,À vérifier,P2,MapTCG,guildedudragon.com,a_verifier,a_verifier_plateforme,url_trouvee,2026-08-25,Non
La Carte A Jouer,Avignon,84,"6 Rue de la Rappe, 84000 Avignon",TCG,Oui,Non,Oui,À vérifier,À vérifier,Oui,À vérifier,P2,MapTCG,jeux-bois-avignon.fr,aucune,Non,"verifie_non_scrapable -- boutique de jouets en BOIS, pas TCG malgre le nom",2026-08-25,Non
La Boutique de Pikaplasma,Avrillé,49,"12C Rue Pierre Mendès France, 49240 Avrillé",TCG,Oui,Non,Oui,À vérifier,Oui,Oui,À vérifier,P1,MapTCG,pikaplasma.com,prestashop,a_verifier_manuellement,"insuffisant_verifie (62 produits/0 slug pokemon -- site annonce pourtant +100000 cartes, catalogue web probablement partiel/autre domaine)",2026-08-25,Non
Maxxi Games,Bagnolet,93,"28 Av. du Général de Gaulle, 93170 Bagnolet",TCG,Oui,Non,Oui,À vérifier,À vérifier,Oui,À vérifier,P2,MapTCG,maxxi-games.fr,a_verifier,a_verifier_plateforme,url_trouvee (meme chaine que MAXXI-GAMES Aix-en-Provence) -- principalement jeux video,2026-08-25,Non
Japan World,Bastia,2B,"4 Bd Auguste Gaudin, Bastia",TCG Pokémon,Oui,Non,Non,À vérifier,À vérifier,Oui,À vérifier,P2,MapTCG,japan-world-manga.fr,a_verifier,a_verifier_plateforme,"url_trouvee -- principalement produits derives manga/figurines, pertinence TCG cartes incertaine",2026-08-25,Non
Factory Games,Bayonne,64,"47 Rue Pannecau, 64100 Bayonne",TCG,Oui,Non,Oui,À vérifier,À vérifier,Oui,À vérifier,P2,MapTCG,À rechercher,À vérifier,Moyen,À qualifier,2026-08-25,Non
Snoooop,Bayonne,64,"3 Rue Denis Etcheverry, Bayonne",TCG,Oui,Oui,Oui,À vérifier,À vérifier,Oui,À vérifier,P1,MapTCG,snooop.gg,shopify,Oui,candidat_verifie (250 produits/4 singles/51 scelle pokemon),2026-08-25,Non
L'AIGLERIE TCG,Bègles,33,"4 Pass. Alexis Labro, 33130 Bègles",TCG,Oui,Non,Oui,À vérifier,Oui,Oui,À vérifier,P1,MapTCG,aucun trouve (Instagram/TikTok uniquement),aucune,Non,verifie_non_scrapable,2026-08-25,Non
Eldora Games,Belfort,90,"Pl. Commune de Paris de 1871, Belfort",TCG,Oui,Non,Oui,À vérifier,À vérifier,Oui,À vérifier,P2,MapTCG,À rechercher,À vérifier,Moyen,À qualifier,2026-08-25,Non
Berjeucartes,Bergerac,24,"9 Pl. Malbec, Bergerac",TCG,Oui,Non,Oui,À vérifier,À vérifier,Oui,À vérifier,P2,MapTCG,À rechercher,À vérifier,Moyen,À qualifier,2026-08-25,Non
Guyajeux Bergerac,Bergerac,24,"22 Rue Saint-James, Bergerac",TCG,Oui,Non,Oui,À vérifier,À vérifier,Oui,Oui,P2,MapTCG,guyajeux.fr,a_verifier,a_verifier_plateforme,url_trouvee (meme chaine que Guyajeux Agen),2026-08-25,Non
Backingame,Besançon,25,"2 Pl. Claude François Jouffroy d'Abbans, 25000 Besançon",TCG,Oui,Non,Oui,À vérifier,À vérifier,Oui,À vérifier,P2,MapTCG,À rechercher,À vérifier,Moyen,À qualifier,2026-08-25,Non
Krak'n Play,Besançon,25,"7 Rue Lavoisier, Besançon",TCG,Oui,Oui,Oui,À vérifier,Oui,Oui,À vérifier,P1,MapTCG,kraknplay.com,prestashop,Oui,candidat_verifie (188 produits/9 slugs pokemon),2026-08-25,Non
Les Jeux de la Comté,Besançon,25,"26 Rue Battant, Besançon",TCG,Oui,Non,Oui,À vérifier,À vérifier,Oui,À vérifier,P2,MapTCG,À rechercher,À vérifier,Moyen,À qualifier,2026-08-25,Non
Play cash,Besançon,25,"20 Rue Battant, 25000 Besançon",Cash/occasion/TCG,Oui,Non,Oui,À vérifier,À vérifier,Oui,Oui,P1,MapTCG,aucun site TCG dedie (boutique jeux video/occasion generaliste),aucune,Non,verifie_non_scrapable,2026-08-25,Non
Dream Games,Billy-Montigny,62,"24 Rue Jean Jaurès, 62420 Billy-Montigny",TCG,Oui,Non,Oui,À vérifier,À vérifier,Oui,À vérifier,P2,MapTCG,À rechercher,À vérifier,Moyen,À qualifier,2026-08-25,Non
Asian Gate,Blois,41,"17 Rue Haute, Blois",TCG Pokémon,Oui,Non,Non,À vérifier,À vérifier,Oui,À vérifier,P2,MapTCG,À rechercher,À vérifier,Moyen,À qualifier,2026-08-25,Non
Draco Geek Shop,Blois,41,"16 Rue du Commerce, 41000 Blois",TCG,Oui,Non,Oui,À vérifier,À vérifier,Oui,À vérifier,P2,MapTCG,À rechercher,À vérifier,Moyen,À qualifier,2026-08-25,Non
Jeux Descartes,Bordeaux,33,"69 Bis Rue des Trois-Conils, 33000 Bordeaux",TCG,Oui,Non,Oui,À vérifier,À vérifier,Oui,À vérifier,P2,MapTCG,"aucun (Facebook uniquement, meme chaine que Jeux Descartes Lyon)",aucune,Non,verifie_non_scrapable,2026-08-25,Non
Le Coin des Barons Bordeaux,Bordeaux,33,"3 Place du Palais, Bordeaux",TCG,Oui,Oui,Oui,À vérifier,Oui,Oui,Oui,P1,MapTCG,lecoindesbarons.com,woocommerce,Oui,deja_scrape,2026-08-25,Non
Shibuya Store,Bordeaux,33,"41 Rue du Loup, Bordeaux",TCG,Oui,Oui,Oui,À vérifier,Oui,Oui,À vérifier,P1,MapTCG,shibuya-quality-store.fr (a confirmer),custom_confirme_non_boutique_ou_url_incorrecte,Non,"url_incertaine -- ni Shopify/WooCommerce/PrestaShop detecte, la correspondance avec Shibuya Store Bordeaux reste a confirmer manuellement",2026-08-25,Non
